species,lifestage,URL
BLACKGROUER,adult,
BLACKGROUER,earlyJuvenile,
BLACKGROUER,lateJuvenile,
BLACKGROUER,spawningAdult,
BLACKFINSNAPPER,adult,
BLACKFINSNAPPER,earlyJuvenile,
BLACKFINSNAPPER,lateJuvenile,
BLACKFINSNAPPER,spawningAdult,
BROWNSHRIMP,fertilizedEggs,
BROWNSHRIMP,latePostlarvaeJuveniles,
BROWNSHRIMP,nonSpawningAdults,
BROWNSHRIMP,spawningAdults,
BROWNSHRIMP,subAdults,
COBIA,adults,
CUBERASNAPPER,adults,
CUBERASNAPPER,earlyJuveniles,
CUBERASNAPPER,lateJuveniles,
CUBERASNAPPER,spawningAdult,
GAG,adults,
GAG,earlyJuveniles,
GAG,lateJuveniles,
GAG,spawningAdult,
TILEFISH,adults,
TILEFISH,lateJuveniles,
TILEFISH,spawningAdults,
GOLDFACETILEFISH,adults,
GOLIATHGROUPER,adults,
GOLIATHGROUPER,earlyJuveniles,
GOLIATHGROUPER,lateJuveniles,
GOLIATHGROUPER,postLarvae,
GOLIATHGROUPER,spawningAdults,
GRAYSNAPPER,adults,
GRAYSNAPPER,earlyJuveniles,
GRAYSNAPPER,lateJuveniles,
GRAYSNAPPER,postLarvae,
GRAYSNAPPER,spawningAdults,
GRAYTRIGGERFISH,adults,
GRAYTRIGGERFISH,earlyJuveniles,
GRAYTRIGGERFISH,lateJuveniles,
GRAYTRIGGERFISH,spawningAdults,
GREATERAMBERJACK,adults,
GREATERAMBERJACK,lateJuveniles,
GREATERAMBERJACK,spawningAdults,
HOGFISH,adults,
HOGFISH,earlyJuveniles,
HOGFISH,lateJuveniles,
HOGFISH,spawningAdults,
LESSERAMBERJACK,adults,
LESSERAMBERJACK,lateJuveniles,
LESSERAMBERJACK,spawningAdults,
MUTTONSNAPPER,adults,
MUTTONSNAPPER,earlyJuveniles,
MUTTONSNAPPER,lateJuveniles,
MUTTONSNAPPER,spawningAdults,
PINKSHRIMP,fertilizedEggs,
PINKSHRIMP,latePostlarvaeJuveniles,
PINKSHRIMP,nonSpawningAdults,
PINKSHRIMP,spawningAdults,
PINKSHRIMP,subAdults,
QUEENSNAPPER,adults,
REDDRUM,adults,https://api.mapbox.com/styles/v1/jfroeschke/ciu7a0o0200002jpcl9oc0sqi/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg
REDDRUM,earlyJuveniles,
REDDRUM,larvae,
REDDRUM,lateJuveniles,
REDDRUM,postlarvae,
REDDRUM,spawningAdults,https://api.mapbox.com/styles/v1/jfroeschke/ciu703yi500g02inzohq8u5t6/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg
REDGROUPER,adults,
REDGROUPER,earlyJuveniles,
REDGROUPER,lateJuveniles,
REDGROUPER,spawningAdults,
REDSNAPPER,adults,
REDSNAPPER,earlyJuveniles,
REDSNAPPER,lateJuveniles,
REDSNAPPER,spawningAdults,https://api.mapbox.com/styles/v1/claireroberts/ciuhh70a6000s2imlw05lzaog/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig
ROYALREDSHRIMP,adults,
ROYALREDSHRIMP,spawningadults,
SCAMP,adults,
SCAMP,earlyJuveniles,
SCAMP,lateJuveniles,
SCAMP,spawningAdults,
SILKSNAPPER,adults,
SNOWYGROUPER,adults,
SNOWYGROUPER,earlyJuveniles,
SNOWYGROUPER,lateJuveniles,
SNOWYGROUPER,spawningAdults,
SPECKLEDHIND,adults,
SPECKLEDHIND,earlyJuveniles,
SPECKLEDHIND,lateJuveniles,
SPECKLEDHIND,spawningAdults,
SPINYLOBSTER,adults,
SPINYLOBSTER,juveniles,
SPINYLOBSTER,puerulusPostlarvae,
VERMILIONSNAPPER,adults,
VERMILIONSNAPPER,earlyJuveniles,
VERMILIONSNAPPER,lateJuveniles,
WARSAWGROUPER,adults,
WARSAWGROUPER,lateJuveniles,
WARSAWGROUPER,spawningAdults,
WENCHMAN,adults,
WENCHMAN,spawningAdults,
WHITESHRIMP,adults,
WHITESHRIMP,latePostlarvaeJuveniles,
WHITESHRIMP,subAdults,
YELLOWEDGEGROUPER,adults,
YELLOWEDGEGROUPER,lateJuveniles,
YELLOWEDGEGROUPER,spawningAdults,
YELLOWFINGROUPER,adults,
YELLOWFINGROUPER,earlyJuveniles,
YELLOWFINGROUPER,lateJuveniles,
YELLOWFINGROUPER,spawningAdults,
YELLOWMOUTHGROUPER,adults ,
YELLOWMOUTHGROUPER,earlyJuveniles,
YELLOWMOUTHGROUPER,lateJuveniles,
YELLOWTAILSNAPPER,adults,
YELLOWTAILSNAPPER,earlyJuveniles,
YELLOWTAILSNAPPER,lateJuveniles,
